,Teaching in large class environments,Teaching in online/hybrid environments,Teaching in seminar-style classes,Facilitating learning through group work,Facilitating learning in a SCALE-UP classroom,Using effective classroom management techniques,Using Canvas for collaboration,Identifying instructional goals and objectives,Aligning course content with learning goals,Creating engaging learning experiences,Using open educational resources,Using Canvas for course design,Using multimedia to enhance courses,Creating videos for instructional purposes,Having students create and share multimedia projects,Managing time effectively,Using Google Apps for project management,Using Office365 for collaboration,Using Adobe suite for visual design projects,"Using Office365 for document, spreadsheet, and/or presentation creation",Choosing the right technology for the job required,"Using programming languages, such as R or Python",Reporting productivity using VTelements (for FAR),Developing effective surveys,Using focus groups for qualitative data,Publishing / Posting publications,Data visualization,Using a citation manager,Using scholarly databases and journals,Data curation and use,Using tools for data collection,Managing big data,Measuring student learning effectively,Developing assessments aligned with instructional goals and objectives,Designing and using authentic assessments,Giving effective feedback,"Using technology to design, deliver, and grade assessments",Using embedded assessment for program-level assessment,Using Canvas: for gradebook and assignments,Using Canvas: for tests and quizzes,Using SPOT reporting,Differentiating instruction for student readiness levels,Planning instruction for a diverse student body,Using effective techniques for handling controversial topics,Using accessible technology for student success,"Making course materials accessible for all students (e.g. hearing impaired, vision impaired)",Building rapport with students,Helping students become self-regulated learners,Working with people with autism and their communities,Working with children - classroom management techniques,Connecting Schools and Museums,Communicating with the public,Culturally-relevant/sensitive engagement,Assessing / Evaluating the impact of outreach and engagement,Working with children - safety and liability
Agriculture & Life Sciences,0.1323529411764706,0.23529411764705882,0.16176470588235295,0.2647058823529412,0.29411764705882354,0.39705882352941174,0.38235294117647056,0.16176470588235295,0.22058823529411764,0.3235294117647059,0.4117647058823529,0.29411764705882354,0.47058823529411764,0.5441176470588235,0.35294117647058826,0.38235294117647056,0.3382352941176471,0.29411764705882354,0.4117647058823529,0.16176470588235295,0.36764705882352944,0.35294117647058826,0.4411764705882353,0.373134328358209,0.22388059701492538,0.208955223880597,0.373134328358209,0.23880597014925373,0.1044776119402985,0.29850746268656714,0.373134328358209,0.4626865671641791,0.44776119402985076,0.40298507462686567,0.40298507462686567,0.3880597014925373,0.40298507462686567,0.47761194029850745,0.23880597014925373,0.2835820895522388,0.29850746268656714,0.44776119402985076,0.4925373134328358,0.4626865671641791,0.4925373134328358,0.5970149253731343,0.22388059701492538,0.4925373134328358,0.31343283582089554,0.08955223880597014,0.13432835820895522,0.26865671641791045,0.31343283582089554,0.3582089552238806,0.1044776119402985
Architecture & Urban Studies,0.09090909090909091,0.24242424242424243,0.0,0.18181818181818182,0.21212121212121213,0.18181818181818182,0.2727272727272727,0.12121212121212122,0.12121212121212122,0.21212121212121213,0.30303030303030304,0.15151515151515152,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.21212121212121213,0.24242424242424243,0.18181818181818182,0.18181818181818182,0.48484848484848486,0.24242424242424243,0.18181818181818182,0.24242424242424243,0.2727272727272727,0.21212121212121213,0.24242424242424243,0.24242424242424243,0.30303030303030304,0.30303030303030304,0.21875,0.21875,0.1875,0.09375,0.125,0.1875,0.125,0.09375,0.09375,0.2903225806451613,0.5161290322580645,0.3870967741935484,0.41935483870967744,0.5483870967741935,0.16129032258064516,0.3548387096774194,0.3225806451612903,0.06451612903225806,0.22580645161290322,0.16129032258064516,0.22580645161290322,0.22580645161290322,0.06451612903225806
College of Business,0.125,0.3,0.15,0.375,0.15,0.3,0.3,0.225,0.175,0.275,0.125,0.2,0.35,0.375,0.225,0.4,0.3,0.25,0.275,0.25,0.4,0.45,0.4,0.225,0.275,0.4,0.375,0.375,0.2,0.375,0.475,0.4,0.35,0.275,0.275,0.4,0.5,0.325,0.3,0.25,0.225,0.325,0.3,0.475,0.5,0.475,0.3,0.45,0.3,0.15,0.1,0.175,0.25,0.25,0.1
College of Engineering,0.13592233009708737,0.18446601941747573,0.06796116504854369,0.2524271844660194,0.23300970873786409,0.18446601941747573,0.36893203883495146,0.0970873786407767,0.08737864077669903,0.24271844660194175,0.30097087378640774,0.2912621359223301,0.3592233009708738,0.3883495145631068,0.2621359223300971,0.33980582524271846,0.30097087378640774,0.22330097087378642,0.2815533980582524,0.14563106796116504,0.32038834951456313,0.2912621359223301,0.49514563106796117,0.2524271844660194,0.14563106796116504,0.1553398058252427,0.4077669902912621,0.2621359223300971,0.1650485436893204,0.42718446601941745,0.3592233009708738,0.42718446601941745,0.33980582524271846,0.2524271844660194,0.30097087378640774,0.3106796116504854,0.30097087378640774,0.36893203883495146,0.21359223300970873,0.20388349514563106,0.2621359223300971,0.35294117647058826,0.39215686274509803,0.3235294117647059,0.4117647058823529,0.47058823529411764,0.29411764705882354,0.47058823529411764,0.297029702970297,0.0891089108910891,0.09900990099009901,0.32673267326732675,0.31683168316831684,0.3465346534653465,0.06930693069306931
College of Science,0.10465116279069768,0.26744186046511625,0.10465116279069768,0.3488372093023256,0.2558139534883721,0.23255813953488372,0.2441860465116279,0.16279069767441862,0.18604651162790697,0.26744186046511625,0.23255813953488372,0.2558139534883721,0.26744186046511625,0.26744186046511625,0.18604651162790697,0.3372093023255814,0.2558139534883721,0.11627906976744186,0.23255813953488372,0.10465116279069768,0.23255813953488372,0.313953488372093,0.36046511627906974,0.22093023255813954,0.09302325581395349,0.12790697674418605,0.26744186046511625,0.18604651162790697,0.046511627906976744,0.18604651162790697,0.27906976744186046,0.3488372093023256,0.29411764705882354,0.25882352941176473,0.29411764705882354,0.2,0.18823529411764706,0.27058823529411763,0.18823529411764706,0.2235294117647059,0.18823529411764706,0.4235294117647059,0.3764705882352941,0.3411764705882353,0.5647058823529412,0.6,0.2235294117647059,0.3764705882352941,0.3176470588235294,0.10588235294117647,0.16470588235294117,0.3176470588235294,0.29411764705882354,0.38823529411764707,0.15294117647058825
College of Veterinary Medicine,0.23076923076923078,0.7307692307692307,0.34615384615384615,0.34615384615384615,0.3076923076923077,0.4230769230769231,0.4230769230769231,0.2692307692307692,0.2692307692307692,0.46153846153846156,0.34615384615384615,0.4230769230769231,0.46153846153846156,0.4230769230769231,0.23076923076923078,0.2692307692307692,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.34615384615384615,0.5769230769230769,0.19230769230769232,0.34615384615384615,0.19230769230769232,0.11538461538461539,0.3076923076923077,0.4230769230769231,0.4230769230769231,0.15384615384615385,0.34615384615384615,0.46153846153846156,0.38461538461538464,0.46153846153846156,0.4230769230769231,0.46153846153846156,0.5384615384615384,0.5,0.5384615384615384,0.38461538461538464,0.4230769230769231,0.34615384615384615,0.38461538461538464,0.38461538461538464,0.34615384615384615,0.38461538461538464,0.5,0.23076923076923078,0.4230769230769231,0.2692307692307692,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.3076923076923077,0.15384615384615385,0.11538461538461539
Dean of Libraries,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.0,0.3333333333333333,0.0,0.0,0.0,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.375,0.375,0.5,0.375,0.25,0.25,0.375,0.25,0.125,0.125,0.25,0.125,0.5,0.25
Graduate School,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Honors College,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
Liberal Arts and Human Sciences,0.06930693069306931,0.26732673267326734,0.04950495049504951,0.16831683168316833,0.16831683168316833,0.13861386138613863,0.24752475247524752,0.06930693069306931,0.039603960396039604,0.09900990099009901,0.33663366336633666,0.2871287128712871,0.31683168316831684,0.32673267326732675,0.38613861386138615,0.3069306930693069,0.22772277227722773,0.2079207920792079,0.33663366336633666,0.18811881188118812,0.37623762376237624,0.13861386138613863,0.40594059405940597,0.1485148514851485,0.13861386138613863,0.24752475247524752,0.31683168316831684,0.3069306930693069,0.1782178217821782,0.25742574257425743,0.2871287128712871,0.19801980198019803,0.15841584158415842,0.13861386138613863,0.13861386138613863,0.13861386138613863,0.24752475247524752,0.297029702970297,0.18811881188118812,0.13861386138613863,0.16831683168316833,0.2376237623762376,0.22772277227722773,0.26732673267326734,0.44554455445544555,0.5841584158415841,0.0891089108910891,0.24752475247524752,0.32,0.03,0.15,0.15,0.24,0.22,0.06
